"","X4","X5","X6","X7","X8","X9","Page","Country","Platform","Date","Visit","dayOfTheWeek","month"
"66","Google_zh","wikipedia","org_all-access_spider","Google_zh","wikipedia","org_all-access_spider","Google_zh","zh","spider",2015-07-01,44,"Wed",7
"67","Gu9udan_zh","wikipedia","org_all-access_spider","Gu9udan_zh","wikipedia","org_all-access_spider","Gu9udan_zh","zh","spider",2015-07-01,0,"Wed",7
"68","HDMI_zh","wikipedia","org_all-access_spider","HDMI_zh","wikipedia","org_all-access_spider","HDMI_zh","zh","spider",2015-07-01,8,"Wed",7
"69","Hand_Shakers_zh","wikipedia","org_all-access_spider","Hand_Shakers_zh","wikipedia","org_all-access_spider","Hand_Shakers_zh","zh","spider",2015-07-01,0,"Wed",7
"70","Hisasi_zh","wikipedia","org_all-access_spider","Hisasi_zh","wikipedia","org_all-access_spider","Hisasi_zh","zh","spider",2015-07-01,0,"Wed",7
"71","Hit_The_Stage_zh","wikipedia","org_all-access_spider","Hit_The_Stage_zh","wikipedia","org_all-access_spider","Hit_The_Stage_zh","zh","spider",2015-07-01,0,"Wed",7
"72","Hotel_King_zh","wikipedia","org_all-access_spider","Hotel_King_zh","wikipedia","org_all-access_spider","Hotel_King_zh","zh","spider",2015-07-01,20,"Wed",7
"73","I'm_Home_zh","wikipedia","org_all-access_spider","I'm_Home_zh","wikipedia","org_all-access_spider","I'm_Home_zh","zh","spider",2015-07-01,67,"Wed",7
"75","IKON_zh","wikipedia","org_all-access_spider","IKON_zh","wikipedia","org_all-access_spider","IKON_zh","zh","spider",2015-07-01,10,"Wed",7
"76","INFINITE_zh","wikipedia","org_all-access_spider","INFINITE_zh","wikipedia","org_all-access_spider","INFINITE_zh","zh","spider",2015-07-01,11,"Wed",7
"77","IPhone_zh","wikipedia","org_all-access_spider","IPhone_zh","wikipedia","org_all-access_spider","IPhone_zh","zh","spider",2015-07-01,34,"Wed",7
"78","Ingress_zh","wikipedia","org_all-access_spider","Ingress_zh","wikipedia","org_all-access_spider","Ingress_zh","zh","spider",2015-07-01,3,"Wed",7
"79","Intel740_zh","wikipedia","org_all-access_spider","Intel740_zh","wikipedia","org_all-access_spider","Intel740_zh","zh","spider",2015-07-01,0,"Wed",7
"80","Intel_80386_zh","wikipedia","org_all-access_spider","Intel_80386_zh","wikipedia","org_all-access_spider","Intel_80386_zh","zh","spider",2015-07-01,7,"Wed",7
"81","Juksy_zh","wikipedia","org_all-access_spider","Juksy_zh","wikipedia","org_all-access_spider","Juksy_zh","zh","spider",2015-07-01,1,"Wed",7
"83","KNK_zh","wikipedia","org_all-access_spider","KNK_zh","wikipedia","org_all-access_spider","KNK_zh","zh","spider",2015-07-01,0,"Wed",7
"84","KUROMUKURO_zh","wikipedia","org_all-access_spider","KUROMUKURO_zh","wikipedia","org_all-access_spider","KUROMUKURO_zh","zh","spider",2015-07-01,0,"Wed",7
"85","Kara_zh","wikipedia","org_all-access_spider","Kara_zh","wikipedia","org_all-access_spider","Kara_zh","zh","spider",2015-07-01,56,"Wed",7
"86","Kill_Me_Heal_Me_zh","wikipedia","org_all-access_spider","Kill_Me_Heal_Me_zh","wikipedia","org_all-access_spider","Kill_Me_Heal_Me_zh","zh","spider",2015-07-01,24,"Wed",7
"87","Lady_Gaga_zh","wikipedia","org_all-access_spider","Lady_Gaga_zh","wikipedia","org_all-access_spider","Lady_Gaga_zh","zh","spider",2015-07-01,9,"Wed",7
"88","Legal_high_zh","wikipedia","org_all-access_spider","Legal_high_zh","wikipedia","org_all-access_spider","Legal_high_zh","zh","spider",2015-07-01,28,"Wed",7
"89","LoveLive!_zh","wikipedia","org_all-access_spider","LoveLive!_zh","wikipedia","org_all-access_spider","LoveLive!_zh","zh","spider",2015-07-01,8,"Wed",7
"90","LoveLive!_Sunshine!!_zh","wikipedia","org_all-access_spider","LoveLive!_Sunshine!!_zh","wikipedia","org_all-access_spider","LoveLive!_Sunshine!!_zh","zh","spider",2015-07-01,0,"Wed",7
"91","Lovelyz_zh","wikipedia","org_all-access_spider","Lovelyz_zh","wikipedia","org_all-access_spider","Lovelyz_zh","zh","spider",2015-07-01,2,"Wed",7
"92","Lulu_zh","wikipedia","org_all-access_spider","Lulu_zh","wikipedia","org_all-access_spider","Lulu_zh","zh","spider",2015-07-01,0,"Wed",7
"93","MADTOWN_zh","wikipedia","org_all-access_spider","MADTOWN_zh","wikipedia","org_all-access_spider","MADTOWN_zh","zh","spider",2015-07-01,0,"Wed",7
"94","MAMAMOO_zh","wikipedia","org_all-access_spider","MAMAMOO_zh","wikipedia","org_all-access_spider","MAMAMOO_zh","zh","spider",2015-07-01,8,"Wed",7
"95","MONSTA_X_zh","wikipedia","org_all-access_spider","MONSTA_X_zh","wikipedia","org_all-access_spider","MONSTA_X_zh","zh","spider",2015-07-01,0,"Wed",7
"96","Madame_Antoine_zh","wikipedia","org_all-access_spider","Madame_Antoine_zh","wikipedia","org_all-access_spider","Madame_Antoine_zh","zh","spider",2015-07-01,0,"Wed",7
"97","Mamamoo_zh","wikipedia","org_all-access_spider","Mamamoo_zh","wikipedia","org_all-access_spider","Mamamoo_zh","zh","spider",2015-07-01,0,"Wed",7
"99","Miss_A_zh","wikipedia","org_all-access_spider","Miss_A_zh","wikipedia","org_all-access_spider","Miss_A_zh","zh","spider",2015-07-01,3,"Wed",7
"100","Missing9_zh","wikipedia","org_all-access_spider","Missing9_zh","wikipedia","org_all-access_spider","Missing9_zh","zh","spider",2015-07-01,0,"Wed",7
"101","Monstar_zh","wikipedia","org_all-access_spider","Monstar_zh","wikipedia","org_all-access_spider","Monstar_zh","zh","spider",2015-07-01,0,"Wed",7
"103","NBA_zh","wikipedia","org_all-access_spider","NBA_zh","wikipedia","org_all-access_spider","NBA_zh","zh","spider",2015-07-01,46,"Wed",7
"104","NCT_zh","wikipedia","org_all-access_spider","NCT_zh","wikipedia","org_all-access_spider","NCT_zh","zh","spider",2015-07-01,0,"Wed",7
"105","NEW_GAME!_zh","wikipedia","org_all-access_spider","NEW_GAME!_zh","wikipedia","org_all-access_spider","NEW_GAME!_zh","zh","spider",2015-07-01,0,"Wed",7
"106","Netflix_zh","wikipedia","org_all-access_spider","Netflix_zh","wikipedia","org_all-access_spider","Netflix_zh","zh","spider",2015-07-01,7,"Wed",7
"107","Niantic_zh","wikipedia","org_all-access_spider","Niantic_zh","wikipedia","org_all-access_spider","Niantic_zh","zh","spider",2015-07-01,0,"Wed",7
"108","ONE_OK_ROCK_zh","wikipedia","org_all-access_spider","ONE_OK_ROCK_zh","wikipedia","org_all-access_spider","ONE_OK_ROCK_zh","zh","spider",2015-07-01,5,"Wed",7
"109","ONE_PIECE_zh","wikipedia","org_all-access_spider","ONE_PIECE_zh","wikipedia","org_all-access_spider","ONE_PIECE_zh","zh","spider",2015-07-01,16,"Wed",7
"110","ONE_PIECE_FILM_GOLD_zh","wikipedia","org_all-access_spider","ONE_PIECE_FILM_GOLD_zh","wikipedia","org_all-access_spider","ONE_PIECE_FILM_GOLD_zh","zh","spider",2015-07-01,0,"Wed",7
"111","Oh_My_Girl_zh","wikipedia","org_all-access_spider","Oh_My_Girl_zh","wikipedia","org_all-access_spider","Oh_My_Girl_zh","zh","spider",2015-07-01,4,"Wed",7
"112","Oh_My_Venus_zh","wikipedia","org_all-access_spider","Oh_My_Venus_zh","wikipedia","org_all-access_spider","Oh_My_Venus_zh","zh","spider",2015-07-01,0,"Wed",7
"113","PRODUCE_101_zh","wikipedia","org_all-access_spider","PRODUCE_101_zh","wikipedia","org_all-access_spider","PRODUCE_101_zh","zh","spider",2015-07-01,0,"Wed",7
"114","Page_Turner_zh","wikipedia","org_all-access_spider","Page_Turner_zh","wikipedia","org_all-access_spider","Page_Turner_zh","zh","spider",2015-07-01,0,"Wed",7
"115","Pen-Pineapple-Apple-Pen_zh","wikipedia","org_all-access_spider","Pen-Pineapple-Apple-Pen_zh","wikipedia","org_all-access_spider","Pen-Pineapple-Apple-Pen_zh","zh","spider",2015-07-01,0,"Wed",7
"116","PewDiePie_zh","wikipedia","org_all-access_spider","PewDiePie_zh","wikipedia","org_all-access_spider","PewDiePie_zh","zh","spider",2015-07-01,5,"Wed",7
"117","Popu_Lady_zh","wikipedia","org_all-access_spider","Popu_Lady_zh","wikipedia","org_all-access_spider","Popu_Lady_zh","zh","spider",2015-07-01,15,"Wed",7
"118","Pristin_zh","wikipedia","org_all-access_spider","Pristin_zh","wikipedia","org_all-access_spider","Pristin_zh","zh","spider",2015-07-01,0,"Wed",7
"119","Python_zh","wikipedia","org_all-access_spider","Python_zh","wikipedia","org_all-access_spider","Python_zh","zh","spider",2015-07-01,26,"Wed",7
"120","Qualidea_Code_zh","wikipedia","org_all-access_spider","Qualidea_Code_zh","wikipedia","org_all-access_spider","Qualidea_Code_zh","zh","spider",2015-07-01,0,"Wed",7
"121","RADWIMPS_zh","wikipedia","org_all-access_spider","RADWIMPS_zh","wikipedia","org_all-access_spider","RADWIMPS_zh","zh","spider",2015-07-01,1,"Wed",7
"122","RAID_zh","wikipedia","org_all-access_spider","RAID_zh","wikipedia","org_all-access_spider","RAID_zh","zh","spider",2015-07-01,13,"Wed",7
"123","RWBY_zh","wikipedia","org_all-access_spider","RWBY_zh","wikipedia","org_all-access_spider","RWBY_zh","zh","spider",2015-07-01,3,"Wed",7
"124","Rain_zh","wikipedia","org_all-access_spider","Rain_zh","wikipedia","org_all-access_spider","Rain_zh","zh","spider",2015-07-01,11,"Wed",7
"125","ReLIFE_zh","wikipedia","org_all-access_spider","ReLIFE_zh","wikipedia","org_all-access_spider","ReLIFE_zh","zh","spider",2015-07-01,2,"Wed",7
"126","Red_Velvet_zh","wikipedia","org_all-access_spider","Red_Velvet_zh","wikipedia","org_all-access_spider","Red_Velvet_zh","zh","spider",2015-07-01,15,"Wed",7
"127","Rewrite_zh","wikipedia","org_all-access_spider","Rewrite_zh","wikipedia","org_all-access_spider","Rewrite_zh","zh","spider",2015-07-01,1,"Wed",7
"128","Running_Man_zh","wikipedia","org_all-access_spider","Running_Man_zh","wikipedia","org_all-access_spider","Running_Man_zh","zh","spider",2015-07-01,111,"Wed",7
"130","SF9_zh","wikipedia","org_all-access_spider","SF9_zh","wikipedia","org_all-access_spider","SF9_zh","zh","spider",2015-07-01,0,"Wed",7
"131","SHINee_zh","wikipedia","org_all-access_spider","SHINee_zh","wikipedia","org_all-access_spider","SHINee_zh","zh","spider",2015-07-01,37,"Wed",7
"132","SISTAR_zh","wikipedia","org_all-access_spider","SISTAR_zh","wikipedia","org_all-access_spider","SISTAR_zh","zh","spider",2015-07-01,1,"Wed",7
"133","SIXTEEN_zh","wikipedia","org_all-access_spider","SIXTEEN_zh","wikipedia","org_all-access_spider","SIXTEEN_zh","zh","spider",2015-07-01,22,"Wed",7
"134","SMAP_zh","wikipedia","org_all-access_spider","SMAP_zh","wikipedia","org_all-access_spider","SMAP_zh","zh","spider",2015-07-01,8,"Wed",7
"135","SNH48_zh","wikipedia","org_all-access_spider","SNH48_zh","wikipedia","org_all-access_spider","SNH48_zh","zh","spider",2015-07-01,2,"Wed",7
"136","SUPER_LOVERS_zh","wikipedia","org_all-access_spider","SUPER_LOVERS_zh","wikipedia","org_all-access_spider","SUPER_LOVERS_zh","zh","spider",2015-07-01,0,"Wed",7
"137","Schwarzesmarken_zh","wikipedia","org_all-access_spider","Schwarzesmarken_zh","wikipedia","org_all-access_spider","Schwarzesmarken_zh","zh","spider",2015-07-01,0,"Wed",7
"138","Secret_Love_zh","wikipedia","org_all-access_spider","Secret_Love_zh","wikipedia","org_all-access_spider","Secret_Love_zh","zh","spider",2015-07-01,1,"Wed",7
"139","SpeXial_zh","wikipedia","org_all-access_spider","SpeXial_zh","wikipedia","org_all-access_spider","SpeXial_zh","zh","spider",2015-07-01,147,"Wed",7
"140","Special:Search_zh","wikipedia","org_all-access_spider","Special:Search_zh","wikipedia","org_all-access_spider","Special:Search_zh","zh","spider",2015-07-01,17,"Wed",7
"141","Super_Junior_zh","wikipedia","org_all-access_spider","Super_Junior_zh","wikipedia","org_all-access_spider","Super_Junior_zh","zh","spider",2015-07-01,32,"Wed",7
"142","Supper_Moment_zh","wikipedia","org_all-access_spider","Supper_Moment_zh","wikipedia","org_all-access_spider","Supper_Moment_zh","zh","spider",2015-07-01,3,"Wed",7
"143","T-ara_zh","wikipedia","org_all-access_spider","T-ara_zh","wikipedia","org_all-access_spider","T-ara_zh","zh","spider",2015-07-01,92,"Wed",7
"145","TANet_zh","wikipedia","org_all-access_spider","TANet_zh","wikipedia","org_all-access_spider","TANet_zh","zh","spider",2015-07-01,2,"Wed",7
"146","TFBOYS_zh","wikipedia","org_all-access_spider","TFBOYS_zh","wikipedia","org_all-access_spider","TFBOYS_zh","zh","spider",2015-07-01,37,"Wed",7
"147","THE_K2_zh","wikipedia","org_all-access_spider","THE_K2_zh","wikipedia","org_all-access_spider","THE_K2_zh","zh","spider",2015-07-01,0,"Wed",7
"148","TWICE_zh","wikipedia","org_all-access_spider","TWICE_zh","wikipedia","org_all-access_spider","TWICE_zh","zh","spider",2015-07-01,0,"Wed",7
"149","TWICEcoaster:_LANE_2_zh","wikipedia","org_all-access_spider","TWICEcoaster:_LANE_2_zh","wikipedia","org_all-access_spider","TWICEcoaster:_LANE_2_zh","zh","spider",2015-07-01,0,"Wed",7
"150","The_Good_Wife_zh","wikipedia","org_all-access_spider","The_Good_Wife_zh","wikipedia","org_all-access_spider","The_Good_Wife_zh","zh","spider",2015-07-01,0,"Wed",7
"151","The_Pancakes_zh","wikipedia","org_all-access_spider","The_Pancakes_zh","wikipedia","org_all-access_spider","The_Pancakes_zh","zh","spider",2015-07-01,1,"Wed",7
"152","Twice_zh","wikipedia","org_all-access_spider","Twice_zh","wikipedia","org_all-access_spider","Twice_zh","zh","spider",2015-07-01,0,"Wed",7
"153","Twins_zh","wikipedia","org_all-access_spider","Twins_zh","wikipedia","org_all-access_spider","Twins_zh","zh","spider",2015-07-01,65,"Wed",7
"154","Two_Yoo_Project_-_Sugar_Man_zh","wikipedia","org_all-access_spider","Two_Yoo_Project_-_Sugar_Man_zh","wikipedia","org_all-access_spider","Two_Yoo_Project_-_Sugar_Man_zh","zh","spider",2015-07-01,0,"Wed",7
"155","UNDER_LOVER_zh","wikipedia","org_all-access_spider","UNDER_LOVER_zh","wikipedia","org_all-access_spider","UNDER_LOVER_zh","zh","spider",2015-07-01,0,"Wed",7
"157","USB_Type-C_zh","wikipedia","org_all-access_spider","USB_Type-C_zh","wikipedia","org_all-access_spider","USB_Type-C_zh","zh","spider",2015-07-01,0,"Wed",7
"158","Undertale_zh","wikipedia","org_all-access_spider","Undertale_zh","wikipedia","org_all-access_spider","Undertale_zh","zh","spider",2015-07-01,0,"Wed",7
"159","User:Caoliucm_zh","wikipedia","org_all-access_spider","User:Caoliucm_zh","wikipedia","org_all-access_spider","User:Caoliucm_zh","zh","spider",2015-07-01,0,"Wed",7
"160","User:Kingchang711_zh","wikipedia","org_all-access_spider","User:Kingchang711_zh","wikipedia","org_all-access_spider","User:Kingchang711_zh","zh","spider",2015-07-01,0,"Wed",7
"161","User_talk:Caoliushequa_zh","wikipedia","org_all-access_spider","User_talk:Caoliushequa_zh","wikipedia","org_all-access_spider","User_talk:Caoliushequa_zh","zh","spider",2015-07-01,0,"Wed",7
"162","ViVid_Strike!_zh","wikipedia","org_all-access_spider","ViVid_Strike!_zh","wikipedia","org_all-access_spider","ViVid_Strike!_zh","zh","spider",2015-07-01,0,"Wed",7
"163","ViuTV_zh","wikipedia","org_all-access_spider","ViuTV_zh","wikipedia","org_all-access_spider","ViuTV_zh","zh","spider",2015-07-01,0,"Wed",7
"164","Voice_zh","wikipedia","org_all-access_spider","Voice_zh","wikipedia","org_all-access_spider","Voice_zh","zh","spider",2015-07-01,0,"Wed",7
"165","WINNER_zh","wikipedia","org_all-access_spider","WINNER_zh","wikipedia","org_all-access_spider","WINNER_zh","zh","spider",2015-07-01,23,"Wed",7
"166","Wanted_zh","wikipedia","org_all-access_spider","Wanted_zh","wikipedia","org_all-access_spider","Wanted_zh","zh","spider",2015-07-01,0,"Wed",7
"167","Weather_Girls_zh","wikipedia","org_all-access_spider","Weather_Girls_zh","wikipedia","org_all-access_spider","Weather_Girls_zh","zh","spider",2015-07-01,58,"Wed",7
"168","Weekly_Idol_zh","wikipedia","org_all-access_spider","Weekly_Idol_zh","wikipedia","org_all-access_spider","Weekly_Idol_zh","zh","spider",2015-07-01,22,"Wed",7
"169","Wiki_zh","wikipedia","org_all-access_spider","Wiki_zh","wikipedia","org_all-access_spider","Wiki_zh","zh","spider",2015-07-01,7,"Wed",7
"170","Wonder_Girls_zh","wikipedia","org_all-access_spider","Wonder_Girls_zh","wikipedia","org_all-access_spider","Wonder_Girls_zh","zh","spider",2015-07-01,19,"Wed",7
"171","X_Japan_zh","wikipedia","org_all-access_spider","X_Japan_zh","wikipedia","org_all-access_spider","X_Japan_zh","zh","spider",2015-07-01,1,"Wed",7
"172","Xargon_zh","wikipedia","org_all-access_spider","Xargon_zh","wikipedia","org_all-access_spider","Xargon_zh","zh","spider",2015-07-01,0,"Wed",7
"173","Xss_zh","wikipedia","org_all-access_spider","Xss_zh","wikipedia","org_all-access_spider","Xss_zh","zh","spider",2015-07-01,0,"Wed",7
"174","YouTube_zh","wikipedia","org_all-access_spider","YouTube_zh","wikipedia","org_all-access_spider","YouTube_zh","zh","spider",2015-07-01,65,"Wed",7
"175","Yuri!!!_on_ICE_zh","wikipedia","org_all-access_spider","Yuri!!!_on_ICE_zh","wikipedia","org_all-access_spider","Yuri!!!_on_ICE_zh","zh","spider",2015-07-01,0,"Wed",7
"177","xss_zh","wikipedia","org_all-access_spider","xss_zh","wikipedia","org_all-access_spider","xss_zh","zh","spider",2015-07-01,0,"Wed",7
"178","Healer_zh","wikipedia","org_all-access_spider","Healer_zh","wikipedia","org_all-access_spider","Healer_zh","zh","spider",2015-07-01,8,"Wed",7
